,Away,Away_PTS,Home,Home_PTS,Margin,Away_SRS,Home_SRS
17,Houston Rockets,100,Miami Heat,129,-29,3.78,2.58
18,Sacramento Kings,113,New York Knicks,92,21,-1.44,-6.55
19,Los Angeles Lakers,103,San Antonio Spurs,96,7,7.75,-1.19
20,Dallas Mavericks,131,Cleveland Cavaliers,111,20,5.84,-7.57
21,Utah Jazz,94,Los Angeles Clippers,105,-11,3.2,6.74
22,Detroit Pistons,99,Washington Wizards,115,-16,-4.22,-4.86
23,New Orleans Pelicans,125,Brooklyn Nets,135,-10,0.3,-1.18
24,Houston Rockets,107,Memphis Grizzlies,100,7,3.78,-1.05
25,Milwaukee Bucks,134,Minnesota Timberwolves,106,28,10.44,-3.78
26,Philadelphia 76ers,109,Phoenix Suns,114,-5,2.22,-1.04
27,Portland Trail Blazers,118,Golden State Warriors,127,-9,-1.11,-7.92
28,Indiana Pacers,120,Charlotte Hornets,122,-2,1.61,-6.88
29,Boston Celtics,119,Cleveland Cavaliers,113,6,5.69,-7.57
30,San Antonio Spurs,100,Atlanta Hawks,108,-8,-1.19,-7.57
31,Los Angeles Lakers,118,Chicago Bulls,112,6,7.75,-3.81
32,Orlando Magic,94,Oklahoma City Thunder,102,-8,-0.85,2.79
33,Miami Heat,89,Denver Nuggets,109,-20,2.58,3.02
34,New York Knicks,102,Detroit Pistons,122,-20,-6.55,-4.22
35,Washington Wizards,106,Indiana Pacers,121,-15,-4.86,1.61
36,Chicago Bulls,113,Atlanta Hawks,93,20,-3.81,-7.57
37,Golden State Warriors,112,Houston Rockets,129,-17,-7.92,3.78
38,Sacramento Kings,120,Toronto Raptors,124,-4,-1.44,5.88
39,Minnesota Timberwolves,121,Memphis Grizzlies,137,-16,-3.78,-1.05
40,Orlando Magic,106,Dallas Mavericks,107,-1,-0.85,5.84
41,Philadelphia 76ers,104,Utah Jazz,106,-2,2.22,3.2
42,Milwaukee Bucks,129,Los Angeles Clippers,124,5,10.44,6.74
43,Boston Celtics,108,Charlotte Hornets,87,21,5.69,-6.88
44,Oklahoma City Thunder,112,San Antonio Spurs,121,-9,2.79,-1.19
45,Miami Heat,124,Phoenix Suns,108,16,2.58,-1.04
46,Portland Trail Blazers,101,Los Angeles Clippers,107,-6,-1.11,6.74
47,Detroit Pistons,106,Indiana Pacers,112,-6,-4.22,1.61
48,Memphis Grizzlies,86,Orlando Magic,118,-32,-1.05,-0.85
49,Cleveland Cavaliers,113,Washington Wizards,100,13,-7.57,-4.86
50,Sacramento Kings,121,Atlanta Hawks,109,12,-1.44,-7.57
51,Golden State Warriors,119,Minnesota Timberwolves,125,-6,-7.92,-3.78
52,Toronto Raptors,122,New Orleans Pelicans,104,18,5.88,0.3
53,New York Knicks,106,Dallas Mavericks,102,4,-6.55,5.84
54,Philadelphia 76ers,97,Denver Nuggets,100,-3,2.22,3.02
55,Milwaukee Bucks,100,Utah Jazz,103,-3,10.44,3.2
56,Brooklyn Nets,119,Portland Trail Blazers,115,4,-1.18,-1.11
57,Miami Heat,80,Los Angeles Lakers,95,-15,2.58,7.75
58,Boston Celtics,135,San Antonio Spurs,115,20,5.69,-1.19
59,New Orleans Pelicans,115,Charlotte Hornets,110,5,0.3,-6.88
60,Houston Rockets,117,Chicago Bulls,94,23,3.78,-3.81
61,Dallas Mavericks,138,Memphis Grizzlies,122,16,5.84,-1.05
62,Golden State Warriors,108,Oklahoma City Thunder,114,-6,-7.92,2.79
63,Denver Nuggets,100,Minnesota Timberwolves,98,2,3.02,-3.78
64,Indiana Pacers,109,Orlando Magic,102,7,1.61,-0.85
65,Charlotte Hornets,106,Philadelphia 76ers,114,-8,-6.88,2.22
66,Milwaukee Bucks,121,Oklahoma City Thunder,119,2,10.44,2.79
67,Cleveland Cavaliers,108,New York Knicks,87,21,-7.57,-6.55
68,Brooklyn Nets,112,Phoenix Suns,138,-26,-1.18,-1.04
69,Atlanta Hawks,113,Portland Trail Blazers,124,-11,-7.57,-1.11
70,Toronto Raptors,113,Los Angeles Lakers,104,9,5.88,7.75
71,Minnesota Timberwolves,120,Detroit Pistons,114,6,-3.78,-4.22
72,Dallas Mavericks,106,Boston Celtics,116,-10,5.84,5.69
73,Memphis Grizzlies,113,San Antonio Spurs,109,4,-1.05,-1.19
74,Houston Rockets,122,New Orleans Pelicans,116,6,3.78,0.3
75,Utah Jazz,122,Golden State Warriors,108,14,3.2,-7.92
76,Toronto Raptors,88,Los Angeles Clippers,98,-10,5.88,6.74
77,Oklahoma City Thunder,85,Indiana Pacers,111,-26,2.79,1.61
78,Cleveland Cavaliers,97,Philadelphia 76ers,98,-1,-7.57,2.22
79,Detroit Pistons,108,Miami Heat,117,-9,-4.22,2.58
80,New York Knicks,102,Chicago Bulls,120,-18,-6.55,-3.81
81,Atlanta Hawks,125,Denver Nuggets,121,4,-7.57,3.02
82,Los Angeles Lakers,123,Phoenix Suns,115,8,7.75,-1.04
83,Brooklyn Nets,114,Utah Jazz,119,-5,-1.18,3.2
84,Portland Trail Blazers,99,Sacramento Kings,107,-8,-1.11,-1.44
85,Memphis Grizzlies,119,Charlotte Hornets,117,2,-1.05,-6.88
86,Philadelphia 76ers,97,Orlando Magic,112,-15,2.22,-0.85
87,Washington Wizards,133,Boston Celtics,140,-7,-4.86,5.69
88,Los Angeles Clippers,93,Houston Rockets,102,-9,6.74,3.78
89,San Antonio Spurs,114,Minnesota Timberwolves,129,-15,-1.19,-3.78
90,Golden State Warriors,94,Los Angeles Lakers,120,-26,-7.92,7.75
91,Toronto Raptors,114,Portland Trail Blazers,106,8,5.88,-1.11
92,Miami Heat,108,Cleveland Cavaliers,97,11,2.58,-7.57
93,Chicago Bulls,115,Milwaukee Bucks,124,-9,-3.81,10.44
94,Los Angeles Clippers,127,New Orleans Pelicans,132,-5,6.74,0.3
95,Dallas Mavericks,103,New York Knicks,106,-3,5.84,-6.55
96,Atlanta Hawks,112,Phoenix Suns,128,-16,-7.57,-1.04
97,Brooklyn Nets,93,Denver Nuggets,101,-8,-1.18,3.02
98,Detroit Pistons,106,Charlotte Hornets,109,-3,-4.22,-6.88
99,San Antonio Spurs,109,Orlando Magic,111,-2,-1.19,-0.85
100,Indiana Pacers,102,Houston Rockets,111,-9,1.61,3.78
101,Utah Jazz,106,Memphis Grizzlies,107,-1,3.2,-1.05
102,Washington Wizards,137,Minnesota Timberwolves,116,21,-4.86,-3.78
103,Philadelphia 76ers,119,Oklahoma City Thunder,127,-8,2.22,2.79
104,Boston Celtics,105,Golden State Warriors,100,5,5.69,-7.92
105,Sacramento Kings,97,Los Angeles Lakers,99,-2,-1.44,7.75
106,Brooklyn Nets,117,Chicago Bulls,111,6,-1.18,-3.81
107,Milwaukee Bucks,102,Indiana Pacers,83,19,10.44,1.61
108,Charlotte Hornets,103,New York Knicks,102,1,-6.88,-6.55
109,New Orleans Pelicans,94,Miami Heat,109,-15,0.3,2.58
110,Houston Rockets,125,Minnesota Timberwolves,105,20,3.78,-3.78
111,Toronto Raptors,102,Dallas Mavericks,110,-8,5.88,5.84
112,Portland Trail Blazers,121,San Antonio Spurs,116,5,-1.11,-1.19
113,Atlanta Hawks,101,Los Angeles Clippers,150,-49,-7.57,6.74
114,Philadelphia 76ers,114,Cleveland Cavaliers,95,19,2.22,-7.57
115,Boston Celtics,99,Sacramento Kings,100,-1,5.69,-1.44
116,Denver Nuggets,131,Memphis Grizzlies,114,17,3.02,-1.05
117,Washington Wizards,121,Orlando Magic,125,-4,-4.86,-0.85
118,Golden State Warriors,100,New Orleans Pelicans,108,-8,-7.92,0.3
119,Atlanta Hawks,101,Los Angeles Lakers,122,-21,-7.57,7.75
120,Cleveland Cavaliers,105,New York Knicks,123,-18,-7.57,-6.55
121,Indiana Pacers,115,Brooklyn Nets,86,29,1.61,-1.18
122,Charlotte Hornets,96,Toronto Raptors,132,-36,-6.88,5.88
123,Milwaukee Bucks,115,Chicago Bulls,101,14,10.44,-3.81
124,Portland Trail Blazers,108,Houston Rockets,132,-24,-1.11,3.78
125,San Antonio Spurs,110,Dallas Mavericks,117,-7,-1.19,5.84
126,Boston Celtics,99,Phoenix Suns,85,14,5.69,-1.04
127,Minnesota Timberwolves,112,Utah Jazz,102,10,-3.78,3.2
128,Oklahoma City Thunder,88,Los Angeles Clippers,90,-2,2.79,6.74
129,Golden State Warriors,114,Memphis Grizzlies,95,19,-7.92,-1.05
130,Portland Trail Blazers,104,New Orleans Pelicans,115,-11,-1.11,0.3
131,Phoenix Suns,116,Sacramento Kings,120,-4,-1.04,-1.44
132,Oklahoma City Thunder,107,Los Angeles Lakers,112,-5,2.79,7.75
133,New York Knicks,104,Philadelphia 76ers,109,-5,-6.55,2.22
134,San Antonio Spurs,132,Washington Wizards,138,-6,-1.19,-4.86
135,Milwaukee Bucks,135,Atlanta Hawks,127,8,10.44,-7.57
136,Charlotte Hornets,91,Brooklyn Nets,101,-10,-6.88,-1.18
137,Golden State Warriors,94,Dallas Mavericks,142,-48,-7.92,5.84
138,Cleveland Cavaliers,100,Miami Heat,124,-24,-7.57,2.58
139,Orlando Magic,97,Toronto Raptors,113,-16,-0.85,5.88
140,Detroit Pistons,89,Chicago Bulls,109,-20,-4.22,-3.81
141,Utah Jazz,103,Minnesota Timberwolves,95,8,3.2,-3.78
142,Houston Rockets,95,Denver Nuggets,105,-10,3.78,3.02
143,Boston Celtics,104,Los Angeles Clippers,107,-3,5.69,6.74
144,Portland Trail Blazers,129,Milwaukee Bucks,137,-8,-1.11,10.44
145,New Orleans Pelicans,124,Phoenix Suns,121,3,0.3,-1.04
146,Atlanta Hawks,103,Detroit Pistons,128,-25,-7.57,-4.22
147,Charlotte Hornets,118,Washington Wizards,125,-7,-6.88,-4.86
148,Sacramento Kings,97,Brooklyn Nets,116,-19,-1.44,-1.18
149,Miami Heat,116,Chicago Bulls,108,8,2.58,-3.81
150,Los Angeles Lakers,130,Oklahoma City Thunder,127,3,7.75,2.79
151,San Antonio Spurs,104,Philadelphia 76ers,115,-11,-1.19,2.22
152,Cleveland Cavaliers,101,Dallas Mavericks,143,-42,-7.57,5.84
153,Boston Celtics,92,Denver Nuggets,96,-4,5.69,3.02
154,Golden State Warriors,109,Utah Jazz,113,-4,-7.92,3.2
155,Houston Rockets,119,Los Angeles Clippers,122,-3,3.78,6.74
156,Phoenix Suns,100,Minnesota Timberwolves,98,2,-1.04,-3.78
157,Chicago Bulls,116,Charlotte Hornets,115,1,-3.81,-6.88
158,Orlando Magic,106,Indiana Pacers,111,-5,-0.85,1.61
159,Toronto Raptors,119,Atlanta Hawks,116,3,5.88,-7.57
160,San Antonio Spurs,111,New York Knicks,104,7,-1.19,-6.55
161,Miami Heat,86,Philadelphia 76ers,113,-27,2.58,2.22
162,Portland Trail Blazers,104,Cleveland Cavaliers,110,-6,-1.11,-7.57
163,Los Angeles Lakers,109,Memphis Grizzlies,108,1,7.75,-1.05
164,Detroit Pistons,90,Milwaukee Bucks,104,-14,-4.22,10.44
165,New Orleans Pelicans,120,Utah Jazz,128,-8,0.3,3.2
166,Dallas Mavericks,137,Houston Rockets,123,14,5.84,3.78
167,Brooklyn Nets,103,New York Knicks,101,2,-1.18,-6.55
168,Sacramento Kings,113,Washington Wizards,106,7,-1.44,-4.86
169,Phoenix Suns,104,Denver Nuggets,116,-12,-1.04,3.02
170,New Orleans Pelicans,109,Los Angeles Clippers,134,-25,0.3,6.74
171,Brooklyn Nets,108,Cleveland Cavaliers,106,2,-1.18,-7.57
172,Orlando Magic,88,Detroit Pistons,103,-15,-0.85,-4.22
